exp,drug_conc,Elapsed,mean_count,std_dev,number,upper,lower
Branaplam,100,14,38.25,15.195107908396903,24,44.32930929047662,32.17069070952338
Branaplam,100,16,37.958333333333336,13.961061273558611,24,43.543921143365054,32.37274552330162
Branaplam,100,18,37.25,15.615627623856703,24,43.49755221632058,31.002447783679422
Branaplam,100,20,36.5,16.073202110561432,24,42.930620138238524,30.069379861761476
Branaplam,100,22,35.291666666666664,14.994141367958315,24,41.29057259550029,29.292760737833042
Branaplam,100,24,34.041666666666664,14.962210853453055,24,40.02779772909909,28.055535604234237
Branaplam,100,26,32.291666666666664,14.393474266113632,24,38.05025570438363,26.533077628949698
Branaplam,100,28,31.458333333333332,13.064985288155137,24,36.68541608398169,26.23125058268497
Branaplam,100,30,29.458333333333332,13.008288884789765,24,34.662732798427314,24.25393386823935
Branaplam,100,32,28.125,12.49108377656012,24,33.122474325865134,23.12752567413487
Branaplam,100,34,26.916666666666668,12.089940722214756,24,31.753650345687213,22.079682987646123
Branaplam,100,36,26.166666666666668,12.453973232481363,24,31.14929368267703,21.184039650656306
Branaplam,100,38,25,11.632039710475844,24,29.65378511988134,20.34621488011866
