image_number,total_cell_count,positive_cell_count,negative_cell_count,p_enriched_positive,p_enriched_negative,enriched_score_positive,training_total_cell_count,training_positive_cell_count,training_negative_cell_count,Image_Metadata_image,Image_Metadata_scene,Image_Metadata_slide,days_conf,edu_status
743,918,77,841,0.5933700460637932,0.4066299541316377,0.16412625160485195,0,0,0,079,s1,slide3,3,pos
744,916,78,838,0.598475136023456,0.4015248641453395,0.1733336684699108,0,0,0,080,s1,slide3,3,pos
745,1338,85,1253,0.5025439670577387,0.4974560329420271,0.00441936155632083,0,0,0,081,s1,slide3,3,pos
746,1421,86,1335,0.4873957763047372,0.5126042236957147,-0.02190041897371364,1,1,0,082,s1,slide3,3,pos
747,1070,108,962,0.6570197900183871,0.3429802100040003,0.28230938919373244,0,0,0,083,s1,slide3,3,pos
748,1111,104,1007,0.6310997796238179,0.3689002204308432,0.2331891138530837,0,0,0,084,s1,slide3,3,pos
749,1479,93,1386,0.4993378563411253,0.500662143657876,-0.00115026202152535,1,0,1,085,s1,slide3,3,pos
750,1528,86,1442,0.46519573832455546,0.5348042616772158,-0.06055913186377215,0,0,0,086,s1,slide3,3,pos
751,1126,60,1066,0.44897941827899096,0.5510205817213382,-0.08894138800982915,0,0,0,087,s1,slide3,3,pos
752,1558,50,1508,0.3165289479986081,0.6834710522197823,-0.3343066906590323,0,0,0,088,s1,slide3,3,pos
753,1353,46,1307,0.3300388298024958,0.6699611703471905,-0.30748459386977633,0,0,0,089,s1,slide3,3,pos
754,1315,69,1246,0.4444087420190179,0.555591257982337,-0.09697281024634974,0,0,0,090,s1,slide3,3,pos
755,1372,58,1314,0.3842512177902416,0.615748782236098,-0.20478830902686423,0,0,0,091,s1,slide3,3,pos
756,1396,55,1341,0.3659824937287025,0.6340175063198408,-0.2386409376262122,1,0,1,092,s1,slide3,3,pos
757,1209,55,1154,0.4040737553941264,0.5959262446181822,-0.1687318682697627,0,0,0,093,s1,slide3,3,pos
758,1348,70,1278,0.4413665958614235,0.5586334041429052,-0.10232744011589634,0,0,0,094,s1,slide3,3,pos
759,1008,76,932,0.5577936564807193,0.4422063435182578,0.10084860262584884,0,0,0,095,s1,slide3,3,pos
760,1120,75,1045,0.5192296261102176,0.4807703738891135,0.0334217667414024,0,0,0,096,s1,slide3,3,pos
761,1720,88,1632,0.4369632124607994,0.5630367875425367,-0.11009189594079818,0,0,0,097,s1,slide3,3,pos
762,1698,75,1623,0.3957935303244279,0.6042064696916042,-0.18371668035430244,0,0,0,098,s1,slide3,3,pos
763,1637,66,1571,0.37172484487574214,0.6282751551578901,-0.22792829717165533,0,0,0,099,s1,slide3,3,pos
764,1041,69,972,0.5159295233375764,0.4840704766616347,0.02768178453562142,0,0,0,100,s1,slide3,3,pos
765,1073,94,979,0.608341399684458,0.39165860043031,0.19123970514559188,0,0,0,101,s1,slide3,3,pos
766,1205,104,1101,0.6033918744320567,0.3966081256942076,0.18223784982479013,0,0,0,102,s1,slide3,3,pos
767,1512,98,1414,0.5089168577954677,0.4910831422038817,0.01549181103107982,1,1,0,103,s1,slide3,3,pos
