unique_id,size,scan,signal,well,sample_id,plate_id,cell_strain,day,indicies_baseline,repeat_control,repeat_control_length,...9,...10,allele_1,allele_2,genotype,gene,gene_geno,norm_signal
0515plate_A10.fsa,414.99991022805887,3790,102,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.034529451591062965
0515plate_A10.fsa,415.1666725922073,3791,128,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.043331076506431955
0515plate_A10.fsa,415.33343495635586,3792,136,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.046039268788083954
0515plate_A10.fsa,415.5001973205044,3793,118,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.03994583615436696
0515plate_A10.fsa,415.66695968465285,3794,91,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.030805687203791468
0515plate_A10.fsa,415.8337220488014,3795,72,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.024373730534867976
0515plate_A10.fsa,416.00048441294996,3796,48,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.016249153689911984
0515plate_A10.fsa,416.1672467770984,3797,45,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.015233581584292485
0515plate_A10.fsa,416.33400914124695,3798,39,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.013202437373053487
0515plate_A10.fsa,416.5007715053954,3799,41,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.013879485443466486
0515plate_A10.fsa,416.66753386954395,3800,43,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.014556533513879486
